2026-08-08T15:13:39.831603900Z [inf]  Starting Container
2026-08-08T15:23:11.593577789Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:23:11.593580059Z [inf]  [Persona] Mistral-family prompt extension applied for competitor | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:23:11.593582259Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:23:11.593584529Z [inf]  [Persona] Mistral-family prompt extension applied for elder | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:23:11.593586849Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:23:11.593589179Z [err]  [MistralLimiter] queue backed up: 3 call(s) waiting (0 elite) — Mistral account ceiling is 1.67 req/s / 100000 tokens/min. This is expected under real concurrent load; if it's persistent, the account plan likely needs a higher limit.
2026-08-08T15:23:14.471083180Z [inf]  [Persona] Council weighting directive injected for synthesis | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:23:15.177889871Z [inf]  [Persona] Mistral-family prompt extension applied for synthesis | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:23:15.177894951Z [inf]  [Persona] Council context injected for synthesis (synthesis) | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:23:15.177899021Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (3200 max tokens) [tiered]
2026-08-08T15:23:35.290904143Z [inf]  [Persona] Council weighting directive injected for synthesis | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:23:35.290910333Z [inf]  [Persona] Mistral-family prompt extension applied for synthesis | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:23:35.290914913Z [inf]  [Persona] Council context injected for synthesis (synthesis) | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:23:35.290918893Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (3200 max tokens) [tiered]
2026-08-08T15:23:35.290922993Z [err]  [SynthesisAudit] session=65784d2f-65c6-4d40-ac61-2c1eba69fe47 missing mandatory tag(s): tension, action_plan | stop_reason=stop
2026-08-08T15:23:35.290927293Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (150 max tokens) [tiered]
2026-08-08T15:23:35.290930983Z [err]  [SynthesisAudit] session=65784d2f-65c6-4d40-ac61-2c1eba69fe47 tension backfilled successfully
2026-08-08T15:23:35.290934493Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (400 max tokens) [tiered]
2026-08-08T15:23:35.290939113Z [err]  [SynthesisAudit] session=65784d2f-65c6-4d40-ac61-2c1eba69fe47 action_plan backfilled successfully
2026-08-08T15:23:35.290942943Z [inf]  [Persona] Council weighting directive injected for synthesis | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:23:35.855458989Z [inf]  [Persona] Mistral-family prompt extension applied for synthesis | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:23:35.855463959Z [inf]  [Persona] Council context injected for synthesis (synthesis) | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:23:35.855466989Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (3200 max tokens) [tiered]
2026-08-08T15:23:39.511438538Z [err]  [SynthesisAudit] session=65784d2f-65c6-4d40-ac61-2c1eba69fe47 missing mandatory tag(s): tension, action_plan | stop_reason=stop
2026-08-08T15:23:39.511444128Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (150 max tokens) [tiered]
2026-08-08T15:23:40.090190146Z [err]  [SynthesisAudit] session=65784d2f-65c6-4d40-ac61-2c1eba69fe47 tension backfilled successfully
2026-08-08T15:23:40.090195406Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (400 max tokens) [tiered]
2026-08-08T15:23:41.865656478Z [err]  [SynthesisAudit] session=65784d2f-65c6-4d40-ac61-2c1eba69fe47 action_plan backfilled successfully
2026-08-08T15:29:03.310357788Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (2000 max tokens) [tiered]
2026-08-08T15:29:03.310361717Z [inf]  [StructuralMatch] Ontology not complete for session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f — client should retry
2026-08-08T15:29:03.310367397Z [inf]  [Ontology] Session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f | type: allocation | mode: REDIRECT | rules: R7 | flags: none | identity: 1 | regret: 3 | upstream: 1
2026-08-08T15:29:03.310372697Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (150 max tokens) [tiered]
2026-08-08T15:29:03.310377637Z [inf]  [StructuralMatch] No user identity on session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f — skipping past session retrieval
2026-08-08T15:29:03.310382517Z [inf]  [Examiner GET] R7 downgraded REDIRECT→GATE for session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f: Benchmark data would refine the recommendation but doesn't invalidate a provisional comparison of trade-offs and known performance gaps.
2026-08-08T15:29:03.310386797Z [inf]  [ExaminerMetric] session=53c079dd-7e96-4b3d-96dc-2ff14481fd7f mode=GATE (raw=REDIRECT, downgraded=true) rule=R7
2026-08-08T15:29:03.310391647Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (80 max tokens) [tiered]
2026-08-08T15:29:03.310395827Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (80 max tokens) [tiered]
2026-08-08T15:29:03.310402767Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (80 max tokens) [tiered]
2026-08-08T15:29:04.161091006Z [inf]  [Examiner GET] SB-2 v2.0 | session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f | mode: GATE | questions: E0,R7,C0 | s0: false (57w) | profile: false | fears: false
2026-08-08T15:29:06.183898966Z [inf]  [StructuralMatch] No user identity on session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f — skipping past session retrieval
2026-08-08T15:29:36.219540189Z [inf]  [Examiner POST] Independence score triggered for session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:36.219542989Z [inf]  [Examiner POST] Contradictions triggered for session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:36.219545449Z [inf]  [BiasScore] Scoring session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f (identity: anonymous)
2026-08-08T15:29:36.219547888Z [inf]  [BiasScore] 0 user pushback message(s) for session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:36.219550688Z [inf]  [BiasScore] Scoring from decision_text only for session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f — no examiner or pushback data yet
2026-08-08T15:29:36.219553068Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (4000 max tokens) [tiered]
2026-08-08T15:29:36.219555558Z [inf]  [Persona] Mistral-family prompt extension applied for contrarian | session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:36.219557998Z [inf]  [Persona] Council context injected for contrarian (initial) | session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:36.219560508Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:29:36.219563018Z [inf]  [Persona] Mistral-family prompt extension applied for stakeholder_mirror | session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:36.219565408Z [inf]  [Persona] Council context injected for stakeholder_mirror (initial) | session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:36.219568198Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:29:36.219570978Z [inf]  [Persona] Mistral-family prompt extension applied for risk_architect | session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:36.219573418Z [inf]  [Persona] Council context injected for risk_architect (initial) | session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:36.219854923Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:29:36.219858043Z [inf]  [Persona] Mistral-family prompt extension applied for pattern_analyst | session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:36.219861433Z [inf]  [Persona] Council context injected for pattern_analyst (initial) | session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:36.219864593Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:29:36.219867223Z [inf]  [Persona] Mistral-family prompt extension applied for elder | session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:36.219869813Z [inf]  [Persona] Council context injected for elder (initial) | session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:36.219872483Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:29:36.219875333Z [inf]  [Persona] Mistral-family prompt extension applied for competitor | session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:36.219877923Z [inf]  [Persona] Council context injected for competitor (initial) | session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:36.219880953Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:29:36.239574234Z [err]  [MistralLimiter] queue backed up: 5 call(s) waiting (0 elite) — Mistral account ceiling is 1.67 req/s / 100000 tokens/min. This is expected under real concurrent load; if it's persistent, the account plan likely needs a higher limit.
2026-08-08T15:29:39.211250269Z [inf]  [BiasScore] Scored 15 parameters. Detected: fomo_urgency, control_illusion, exit_optionality_mispricing, success_compression, loss_aversion_reversal, complexity_opacity
2026-08-08T15:29:42.257725056Z [inf]  [BiasScore] Upserted 6 bias rows
2026-08-08T15:29:42.257731256Z [inf]  [Examiner POST] Bias score triggered for session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:49.272116963Z [inf]  [Persona] Council weighting directive injected for synthesis | session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:49.660318462Z [inf]  [Persona] Mistral-family prompt extension applied for synthesis | session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:49.660322932Z [inf]  [Persona] Council context injected for synthesis (synthesis) | session 53c079dd-7e96-4b3d-96dc-2ff14481fd7f
2026-08-08T15:29:49.660326272Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (3200 max tokens) [tiered]
2026-08-08T15:29:52.914385909Z [err]  [SynthesisAudit] session=53c079dd-7e96-4b3d-96dc-2ff14481fd7f missing mandatory tag(s): tension, key_question, action_plan | stop_reason=stop
2026-08-08T15:29:52.914398249Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (150 max tokens) [tiered]
2026-08-08T15:29:53.398791044Z [err]  [SynthesisAudit] session=53c079dd-7e96-4b3d-96dc-2ff14481fd7f tension backfilled successfully
2026-08-08T15:29:53.398796334Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (250 max tokens) [tiered]
2026-08-08T15:29:54.335599674Z [err]  [SynthesisAudit] session=53c079dd-7e96-4b3d-96dc-2ff14481fd7f key_question backfilled successfully
2026-08-08T15:29:54.335604613Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (400 max tokens) [tiered]
2026-08-08T15:29:55.659112344Z [err]  [SynthesisAudit] session=53c079dd-7e96-4b3d-96dc-2ff14481fd7f action_plan backfilled successfully
2026-08-08T15:32:56.853411310Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (2000 max tokens) [tiered]
2026-08-08T15:32:56.853414859Z [inf]  [StructuralMatch] Ontology not complete for session 7b09f897-d5d3-48f4-8f47-bc31de7d6ed2 — client should retry
2026-08-08T15:32:59.581161200Z [inf]  [Ontology] Session 7b09f897-d5d3-48f4-8f47-bc31de7d6ed2 | type: transition | mode: OPEN | rules: none | flags: none | identity: 3 | regret: 2 | upstream: 1
2026-08-08T15:33:02.214802920Z [inf]  [StructuralMatch] Excluded 2 same-lineage session(s) from candidates
2026-08-08T15:33:02.214805900Z [inf]  [StructuralMatch] Scoring session 7b09f897-d5d3-48f4-8f47-bc31de7d6ed2 against 48 past sessions
2026-08-08T15:33:03.311305392Z [inf]  [StructuralMatch] Wrote 20 rows to structural_scores
2026-08-08T15:33:03.644659196Z [inf]  [StructuralMatch] Wrote 20 rows to structural_scores
2026-08-08T15:33:03.944898378Z [inf]  [StructuralMatch] Wrote 8 rows to structural_scores
2026-08-08T15:33:03.944901718Z [inf]  [StructuralMatch] Wrote 48 graph edge(s)
2026-08-08T15:33:03.944904998Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (200 max tokens) [tiered]
2026-08-08T15:33:03.944908198Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (200 max tokens) [tiered]
2026-08-08T15:33:04.213009694Z [inf]  [ExaminerMetric] session=7b09f897-d5d3-48f4-8f47-bc31de7d6ed2 mode=OPEN
2026-08-08T15:33:04.213014844Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (80 max tokens) [tiered]
2026-08-08T15:33:04.213018154Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (80 max tokens) [tiered]
2026-08-08T15:33:04.213021554Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (80 max tokens) [tiered]
2026-08-08T15:33:04.736467186Z [err]  [MistralLimiter] queue backed up: 4 call(s) waiting (0 elite) — Mistral account ceiling is 1.67 req/s / 100000 tokens/min. This is expected under real concurrent load; if it's persistent, the account plan likely needs a higher limit.
2026-08-08T15:33:05.651620734Z [inf]  [StructuralMatch] Excluded 2 same-lineage session(s) from candidates
2026-08-08T15:33:05.651623094Z [inf]  [StructuralMatch] Scoring session 7b09f897-d5d3-48f4-8f47-bc31de7d6ed2 against 48 past sessions
2026-08-08T15:33:06.079781295Z [inf]  [StructuralMatch] Wrote 20 rows to structural_scores
2026-08-08T15:33:06.286368600Z [inf]  [StructuralMatch] Done — 2 matches, threshold_met: true, sessions_scored: 48
2026-08-08T15:33:06.286373640Z [inf]  [StructuralMatch] Wrote 20 rows to structural_scores
2026-08-08T15:33:06.550707088Z [inf]  [StructuralMatch] Wrote 8 rows to structural_scores
2026-08-08T15:33:06.550711418Z [inf]  [StructuralMatch] Wrote 48 graph edge(s)
2026-08-08T15:33:06.550714598Z [inf]  [AIClient] createCompletion → anthropic-elite (claude-sonnet-4-6) (200 max tokens) [tiered]
2026-08-08T15:33:06.550718078Z [inf]  [AIClient] createCompletion → anthropic-elite (claude-sonnet-4-6) (200 max tokens) [tiered]
2026-08-08T15:33:07.123510962Z [inf]  [Examiner GET] SB-2 v2.0 | session 7b09f897-d5d3-48f4-8f47-bc31de7d6ed2 | mode: OPEN | questions: E0,S0,C0 | s0: true (23w) | profile: false | fears: false
2026-08-08T15:33:11.648823837Z [inf]  [StructuralMatch] Done — 2 matches, threshold_met: true, sessions_scored: 48
2026-08-08T15:33:14.440278776Z [inf]  [AIClient] createCompletion → anthropic-elite (claude-sonnet-4-6) (600 max tokens) [tiered]
2026-08-08T15:33:34.367087379Z [inf]  [IndependenceScore] 69d48806: session_score=19 (avg=9 bonus=10)
2026-08-08T15:33:34.367092839Z [inf]  [IndependenceScore] fcb26018 Q2: raw=5/35 norm=14 words=20 fired=[answered_not_skipped]
2026-08-08T15:33:34.367096599Z [inf]  [IndependenceScore] fcb26018 Q1: raw=5/35 norm=14 words=7 fired=[answered_not_skipped]
2026-08-08T15:33:34.367121179Z [inf]  [IndependenceScore] c9a9716d: no responses — excluded
2026-08-08T15:33:34.367128009Z [inf]  [BiasScore] Scoring session 7b09f897-d5d3-48f4-8f47-bc31de7d6ed2 (identity: user_id)
2026-08-08T15:33:34.367130579Z [inf]  [IndependenceScore] 091ba2d3: no responses — excluded
2026-08-08T15:33:34.367133109Z [inf]  [BiasScore] 0 user pushback message(s) for session 7b09f897-d5d3-48f4-8f47-bc31de7d6ed2
2026-08-08T15:33:34.367136618Z [inf]  [IndependenceScore] 249c2526: no responses — excluded
2026-08-08T15:33:34.367137188Z [inf]  [Examiner POST] Contradictions triggered for session 7b09f897-d5d3-48f4-8f47-bc31de7d6ed2
2026-08-08T15:33:34.367142018Z [inf]  [BiasScore] Scoring from decision_text only for session 7b09f897-d5d3-48f4-8f47-bc31de7d6ed2 — no examiner or pushback data yet
2026-08-08T15:33:34.367142178Z [inf]  [IndependenceScore] 552fe533: no responses — excluded
2026-08-08T15:33:34.367146408Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (4000 max tokens) [tiered]
2026-08-08T15:33:34.367150058Z [inf]  [IndependenceScore] 69d48806 Q2: raw=5/35 norm=14 words=13 fired=[answered_not_skipped]
2026-08-08T15:33:34.367151108Z [inf]  [IndependenceScore] c36a3fb1: no responses — excluded
2026-08-08T15:33:34.367156148Z [inf]  [IndependenceScore] 4f017069: no responses — excluded
2026-08-08T15:33:34.367157838Z [inf]  [IndependenceScore] 69d48806 Q3: raw=0/35 norm=0 words=2 fired=[none]
2026-08-08T15:33:34.367162398Z [inf]  [IndependenceScore] 69d48806 Q1: raw=5/35 norm=14 words=27 fired=[answered_not_skipped]
2026-08-08T15:33:34.367268776Z [inf]  [IndependenceScore] fcb26018 Q3: raw=15/35 norm=43 words=17 fired=[stakeholder_surfacing, answered_not_skipped]
2026-08-08T15:33:34.367274606Z [inf]  [IndependenceScore] fcb26018: session_score=34 (avg=24 bonus=10)
2026-08-08T15:33:34.367279706Z [inf]  [IndependenceScore] 6641b33a: no responses — excluded
2026-08-08T15:33:34.367285216Z [inf]  [IndependenceScore] 7b61b38f Q1: raw=5/35 norm=14 words=19 fired=[answered_not_skipped]
2026-08-08T15:33:34.367290416Z [inf]  [IndependenceScore] 7b61b38f Q3: raw=5/35 norm=14 words=3 fired=[answered_not_skipped]
2026-08-08T15:33:34.367295676Z [inf]  [IndependenceScore] 7b61b38f Q2: raw=5/35 norm=14 words=6 fired=[answered_not_skipped]
2026-08-08T15:33:34.367300136Z [inf]  [IndependenceScore] 7b61b38f: session_score=24 (avg=14 bonus=10)
2026-08-08T15:33:34.367304256Z [inf]  [IndependenceScore] 97239870 Q1: raw=5/35 norm=14 words=4 fired=[answered_not_skipped]
2026-08-08T15:33:34.367309486Z [inf]  [IndependenceScore] 97239870 Q3: raw=5/35 norm=14 words=10 fired=[answered_not_skipped]
2026-08-08T15:33:34.367314816Z [inf]  [IndependenceScore] 97239870 Q2: raw=0/35 norm=0 words=4 fired=[none]
2026-08-08T15:33:34.367319485Z [inf]  [IndependenceScore] 97239870: session_score=19 (avg=9 bonus=10)
2026-08-08T15:33:34.367324315Z [inf]  [IndependenceScore] 9c481f68: no responses — excluded
2026-08-08T15:33:34.367328765Z [inf]  [IndependenceScore] a3fdc429 Q1: raw=5/35 norm=14 words=46 fired=[answered_not_skipped]
2026-08-08T15:33:34.367333185Z [inf]  [IndependenceScore] a3fdc429 Q2: raw=10/35 norm=29 words=62 fired=[response_depth, answered_not_skipped]
2026-08-08T15:33:34.367337995Z [inf]  [IndependenceScore] a3fdc429 Q3: raw=10/35 norm=29 words=71 fired=[response_depth, answered_not_skipped]
2026-08-08T15:33:34.367342755Z [inf]  [IndependenceScore] a3fdc429: session_score=34 (avg=24 bonus=10)
2026-08-08T15:33:34.367347255Z [inf]  [IndependenceScore] 84676428 Q1: raw=0/35 norm=0 words=2 fired=[none]
2026-08-08T15:33:34.367939855Z [inf]  [IndependenceScore] a6d98f4e Q2: raw=5/35 norm=14 words=9 fired=[answered_not_skipped]
2026-08-08T15:33:34.367944995Z [inf]  [IndependenceScore] a6d98f4e Q3: raw=0/35 norm=0 words=1 fired=[none]
2026-08-08T15:33:34.367951625Z [inf]  [IndependenceScore] a6d98f4e Q1: raw=5/35 norm=14 words=11 fired=[answered_not_skipped]
2026-08-08T15:33:34.367957785Z [inf]  [IndependenceScore] a6d98f4e: session_score=19 (avg=9 bonus=10)
2026-08-08T15:33:34.367959125Z [inf]  [IndependenceScore] 84676428 Q2: raw=5/35 norm=14 words=7 fired=[answered_not_skipped]
2026-08-08T15:33:34.367964395Z [inf]  [IndependenceScore] 2ad46e9c: no responses — excluded
2026-08-08T15:33:34.367969825Z [inf]  [IndependenceScore] d61d03fb: no responses — excluded
2026-08-08T15:33:34.367973725Z [inf]  [IndependenceScore] f727d6ca: no responses — excluded
2026-08-08T15:33:34.367977875Z [inf]  [IndependenceScore] 9fa83a63: no responses — excluded
2026-08-08T15:33:34.367981784Z [inf]  [IndependenceScore] 9c13b318: no responses — excluded
2026-08-08T15:33:34.368057553Z [inf]  [IndependenceScore] eb0429f3: no responses — excluded
2026-08-08T15:33:34.368065113Z [inf]  [IndependenceScore] 2d0853dd: no responses — excluded
2026-08-08T15:33:34.368065723Z [inf]  [IndependenceScore] 05cb3b19: no responses — excluded
2026-08-08T15:33:34.368069933Z [inf]  [IndependenceScore] def1f0ef: no responses — excluded
2026-08-08T15:33:34.368076463Z [inf]  [IndependenceScore] 60845cd3: no responses — excluded
2026-08-08T15:33:34.368079043Z [inf]  [IndependenceScore] b344f231: no responses — excluded
2026-08-08T15:33:34.368083153Z [inf]  [IndependenceScore] c36dc616: no responses — excluded
2026-08-08T15:33:34.368086153Z [inf]  [IndependenceScore] fb165a66: no responses — excluded
2026-08-08T15:33:34.368088133Z [inf]  [IndependenceScore] 6eb53af4: no responses — excluded
2026-08-08T15:33:34.368088783Z [inf]  [IndependenceScore] 35c5d74d: no responses — excluded
2026-08-08T15:33:34.368096523Z [inf]  [IndependenceScore] 3889ea26 Q2: raw=5/35 norm=14 words=15 fired=[answered_not_skipped]
2026-08-08T15:33:34.368096653Z [inf]  [IndependenceScore] d6cc6b19: no responses — excluded
2026-08-08T15:33:34.368099883Z [inf]  [IndependenceScore] 8c588415: no responses — excluded
2026-08-08T15:33:34.368103332Z [inf]  [IndependenceScore] 37c31e65: no responses — excluded
2026-08-08T15:33:34.368107762Z [inf]  [IndependenceScore] 5cbf09c6: no responses — excluded
2026-08-08T15:33:34.368109982Z [inf]  [IndependenceScore] 79ffa37d: no responses — excluded
2026-08-08T15:33:34.368113302Z [inf]  [IndependenceScore] 16dfc335: no responses — excluded
2026-08-08T15:33:34.368117182Z [inf]  [IndependenceScore] 939e2fc8: no responses — excluded
2026-08-08T15:33:34.368124422Z [inf]  [IndependenceScore] f9822012: no responses — excluded
2026-08-08T15:33:34.368128982Z [inf]  [IndependenceScore] 0b1e07d4: no responses — excluded
2026-08-08T15:33:34.368135982Z [inf]  [IndependenceScore] 49544b6d: no responses — excluded
2026-08-08T15:33:34.368230240Z [inf]  [IndependenceScore] 84676428 Q3: raw=5/35 norm=14 words=6 fired=[answered_not_skipped]
2026-08-08T15:33:34.368237520Z [inf]  [IndependenceScore] 84676428: session_score=19 (avg=9 bonus=10)
2026-08-08T15:33:34.368240920Z [inf]  [IndependenceScore] 5a4e8523: no responses — excluded
2026-08-08T15:33:34.368243690Z [inf]  [IndependenceScore] 08175f4f Q1: raw=5/35 norm=14 words=14 fired=[answered_not_skipped]
2026-08-08T15:33:34.368246920Z [inf]  [IndependenceScore] 08175f4f Q2: raw=5/35 norm=14 words=7 fired=[answered_not_skipped]
2026-08-08T15:33:34.368250010Z [inf]  [IndependenceScore] 08175f4f Q3: raw=5/35 norm=14 words=33 fired=[answered_not_skipped]
2026-08-08T15:33:34.368252980Z [inf]  [IndependenceScore] 08175f4f: session_score=24 (avg=14 bonus=10)
2026-08-08T15:33:34.368256130Z [inf]  [IndependenceScore] ddb67e0c: no responses — excluded
2026-08-08T15:33:34.368806751Z [inf]  [IndependenceScore] 3889ea26 Q3: raw=15/35 norm=43 words=19 fired=[stakeholder_surfacing, answered_not_skipped]
2026-08-08T15:33:34.368810151Z [inf]  [IndependenceScore] 3889ea26 Q1: raw=15/35 norm=43 words=26 fired=[stakeholder_surfacing, answered_not_skipped]
2026-08-08T15:33:34.368813601Z [inf]  [IndependenceScore] 3889ea26: session_score=43 (avg=33 bonus=10)
2026-08-08T15:33:34.368816971Z [inf]  [IndependenceScore] f0248a44: no responses — excluded
2026-08-08T15:33:34.368820641Z [inf]  [IndependenceScore] 7b1cf8a0: no responses — excluded
2026-08-08T15:33:34.368824191Z [inf]  [IndependenceScore] 7333fcd2 Q2: raw=5/35 norm=14 words=19 fired=[answered_not_skipped]
2026-08-08T15:33:34.368827550Z [inf]  [IndependenceScore] 7333fcd2 Q3: raw=5/35 norm=14 words=11 fired=[answered_not_skipped]
2026-08-08T15:33:34.368831230Z [inf]  [IndependenceScore] 7333fcd2 Q1: raw=5/35 norm=14 words=15 fired=[answered_not_skipped]
2026-08-08T15:33:34.368834460Z [inf]  [IndependenceScore] 7333fcd2: session_score=24 (avg=14 bonus=10)
2026-08-08T15:33:34.368837730Z [inf]  [IndependenceScore] bf0bb779 Q1: raw=0/35 norm=0 words=2 fired=[none]
2026-08-08T15:33:34.368841110Z [inf]  [IndependenceScore] bf0bb779 Q3: raw=5/35 norm=14 words=9 fired=[answered_not_skipped]
2026-08-08T15:33:34.368844440Z [inf]  [IndependenceScore] bf0bb779 Q2: raw=5/35 norm=14 words=8 fired=[answered_not_skipped]
2026-08-08T15:33:34.368847630Z [inf]  [IndependenceScore] bf0bb779: session_score=19 (avg=9 bonus=10)
2026-08-08T15:33:34.368851130Z [inf]  [IndependenceScore] 63e2df5a: no responses — excluded
2026-08-08T15:33:34.368854570Z [inf]  [IndependenceScore] 88b303f1: no responses — excluded
2026-08-08T15:33:34.368858030Z [inf]  [IndependenceScore] 344016b7 Q2: raw=5/35 norm=14 words=15 fired=[answered_not_skipped]
2026-08-08T15:33:34.368861050Z [inf]  [IndependenceScore] 344016b7 Q1: raw=5/35 norm=14 words=38 fired=[answered_not_skipped]
2026-08-08T15:33:34.369224884Z [inf]  [IndependenceScore] 344016b7 Q3: raw=5/35 norm=14 words=37 fired=[answered_not_skipped]
2026-08-08T15:33:34.369231124Z [inf]  [IndependenceScore] b9251a62: no responses — excluded
2026-08-08T15:33:34.369233334Z [inf]  [IndependenceScore] 344016b7: session_score=24 (avg=14 bonus=10)
2026-08-08T15:33:34.369237654Z [inf]  [IndependenceScore] 388e40df: no responses — excluded
2026-08-08T15:33:34.369239004Z [inf]  [IndependenceScore] e3a0eacc: no responses — excluded
2026-08-08T15:33:34.369245824Z [inf]  [IndependenceScore] e728cf99: no responses — excluded
2026-08-08T15:33:34.369246054Z [inf]  [IndependenceScore] 9b714d9b: no responses — excluded
2026-08-08T15:33:34.369251793Z [inf]  [IndependenceScore] 7e7a6477: no responses — excluded
2026-08-08T15:33:34.369254073Z [inf]  [IndependenceScore] fecfdd38: no responses — excluded
2026-08-08T15:33:34.369257493Z [inf]  [IndependenceScore] 6f5b4e82: no responses — excluded
2026-08-08T15:33:34.369260393Z [inf]  [IndependenceScore] c04eb1fb: no responses — excluded
2026-08-08T15:33:34.369263493Z [inf]  [IndependenceScore] 859418ad: no responses — excluded
2026-08-08T15:33:34.369268593Z [inf]  [IndependenceScore] cd1de948: no responses — excluded
2026-08-08T15:33:34.369270343Z [inf]  [IndependenceScore] 8027149a: no responses — excluded
2026-08-08T15:33:34.369274113Z [inf]  [IndependenceScore] d6b35e0f: no responses — excluded
